Text filter;Country;Place;Date;Retweet count;Reply count;Favorites;Timestamp
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:13;786;145;309;Yes
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:14;9;15;50;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:14;96;30;79;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:14;90;29;77;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:14;933;169;358;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:14;933;169;358;No
Andrés Arauz;Ecuador;Manabí;01/01/2021 14:14;3;14;48;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:14;99;30;80;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:15;960;174;367;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:15;96;30;79;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:15;96;30;79;No
Xavier Hervas;Ecuador;Azuay;01/01/2021 14:15;90;29;77;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:17;954;173;365;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:17;930;169;357;No
Guillermo Lasso;Ecuador;Pichincha;01/01/2021 14:17;4959;840;1700;No
Lucio Guitérrez;Ecuador;Guayas;01/01/2021 14:18;9;15;50;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:18;933;169;358;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:18;93;29;78;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:18;9;15;50;No
Andrés Arauz;Ecuador;Pichincha;01/01/2021 14:18;99;30;80;No
Andrés Arauz;Ecuador;Azuay;01/01/2021 14:18;96;30;79;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:18;786;145;309;No
Andrés Arauz;Ecuador;Guayas;01/01/2021 14:18;954;173;365;No
Xavier Hervas;Ecuador;Pichincha;01/01/2021 14:18;1080;194;407;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:18;957;173;366;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:18;933;169;358;No
Lucio Guitérrez;Ecuador;Guayas;01/01/2021 14:18;951;172;364;No
Lucio Guitérrez;Ecuador;Azuay;01/01/2021 14:18;90;29;77;No
Yaku Pérez;Ecuador;Azuay;01/01/2021 14:18;933;169;358;No
Guillermo Lasso;Ecuador;Azuay;01/01/2021 14:18;84;28;75;No
