paises afectados;total personas
EE.UU;29.925.902
India;11.308.846
Brasil;11.284.269
Rusia;4.370.617
Reino Unido;4.241.677
Francia;3.990.331
España;3.178.356
Italia;3.149.017
Turquía;2.835.989
Alemania;2.546.510
Colombia;2.290.539
Argentina;2.177.898
México;2.151.028
Polonia;1.868.297
Irán;1.723.470
Sudáfrica;1.525.648
Ucrania;1.438.468
Indonesia;1.410.134
Perú;1.394.571
Rep. Checa;1.376.998
Países Bajos;1.138.796
Canadá;899.757
Chile;873.512
Rumanía;845.352
Israel;814.250
Portugal;812.575
Bélgica;798.108
Irak;745.642
Suecia;707.192
Filipinas;611.618
Pakistán;600.198
Suiza;569.312
Bangladés;554.156
Serbia;503.291
Hungría;498.183
Austria;488.042
Marruecos;487.750
Jordania;457.151
Japón;443.001
Emiratos Árabes Unidos;422.246
Líbano;408.909
Arabia Saudí;381.348
Panamá;346.775
Eslovaquia;331.571
Malasia;320.939
Bielorrusia;298.960
Ecuador;297.957
Nepal;275.070
Georgia;274.377
Bulgaria;272.700
Bolivia;257.240
Croacia;249.661
Rep. Dominicana;244.923
Túnez;239.977
Azerbaiyán;238.383
Irlanda;225.179
Kazajistán;221.669
Dinamarca;218.660
Grecia;214.661
Costa Rica;207.832
Kuwait;205.893
Lituania;204.356
Palestina;203.669
Moldavia;200.124
Eslovenia;199.004
Egipto;189.000
Guatemala;181.143
Armenia;177.104
Honduras;176.427
Paraguay;175.827
Etiopía;171.210
Qatar;169.284
Nigeria;159.933
Omán;145.257
Venezuela;144.277
Libia;142.671
Birmania;142.114
Bosnia y Herzegovina;140.990
Baréin;129.081
Albania;115.442
Argelia;114.851
Kenia;111.185
Macedonia del Norte;110.209
Corea del Sur;94.686
Letonia;92.274
China;90.027
Sri Lanka;86.989
Kirguistán;86.755
Ghana;86.737
Zambia;83.913
Estonia;82.286
Montenegro;82.029
Uzbekistan;80.392
Noruega;78.041
Uruguay;67.717
Finlandia;64.609
Mozambique;63.645
El Salvador;61.814
Singapur;60.080
Cuba;59.157
Luxemburgo;57.321
Afganistán;55.957
Namibia;40.631
Camerún;40.622
Uganda;40.535
Chipre;38.496
Senegal;36.569
Costa de Marfil;36.511
Zimbabue;36.377
Botsuana;34.098
Malaui;32.673
Australia;29.102
Sudán;28.984
Jamaica;28.968
Rep. Dem. del Congo;26.759
Tailandia;26.679
Malta;25.640
Maldivas;21.268
Angola;21.205
Madagascar;20.155
Ruanda;19.945
Mayotte;18.604
Polinesia Francesa;18.517
Mauritania;17.394
Guinea;17.372
Suazilandia;17.215
Guayana Francesa;16.693
Gabón;16.313
Siria;16.257
Cabo Verde;15.932
Reunión;13.801
Tayikistán;13.308
Haití;12.594
Belice;12.359
Burkina Faso;12.275
Hong Kong;11.211
Andorra;11.130
Guadalupe;10.614
Lesoto;10.528
Congo;9.329
Sudán del Sur;9.205
Surinam;8.997
Guayana;8.993
Somalia;8.820
Mali;8.782
Bahamas;8.642
Aruba;8.272
Togo;7.857
Trinidad y Tobago;7.753
Martinica;6.928
Nicaragua;6.537
Benin;6.501
Guinea Ecuatorial;6.456
Yibuti;6.234
Islandia;6.070
Rep. Centroafricana;5.023
Curazao;4.915
Níger;4.853
Gambia;4.792
Gibraltar;4.259
Chad;4.246
San Marino;4.062
Islas del Canal;4.043
Santa Lucía;3.966
Sierra Leona;3.932
Mongolia;3.664
Comoras;3.615
Guinea-Bissau;3.380
Barbados;3.372
Seychelles;3.132
Eritrea;3.009
Yemen;2.667
Liechtenstein;2.596
Vietnam;2.533
Nueva Zelanda;2.417
Burundi;2.396
Turcas y Caicos;2.200
San Martín;2.078
Mónaco;2.075
Santo Tomé y Príncipe;2.035
Liberia;2.026
Papúa Nueva Guinea;1.819
San Vicente y Granadinas;1.674
Isla de San Martín*;1.571
Camboya;1.225
Isla de Man;1.091
Antigua y Barbuda;937
Bután;868
Islas Bermudas;732
PD;712
Mauricio;711
Islas Feroe;660
Caribe Neerlandés;659
St. Barth;638
Tanzania;509
Islas Caimán;463
Brunei;192
Timor Oriental;159
Islas Vírgenes Británicas;153
Dominica;151
Granada;148
Wallis y Futuna;146
Nueva Caledonia;81
Fiyi;66
Islas Malvinas;54
Macao;48
Laos;48
San Cristóbal y Nieves;42
Groenlandia;31
Ciudad del Vaticano;27
San Pedro Miquelón;24
Montserrat;20
Anguila;18
Islas Salomón;18
MS Zaandam;9
Islas Marshall;4
Samoa;3
Vanuatu;3
Micronesia;1
