_id,contributors,coordinates,created_at,display_text_range,entities.hashtags,entities.symbols,entities.urls,entities.user_mentions,extended_tweet.display_text_range,extended_tweet.entities.hashtags,extended_tweet.entities.symbols,extended_tweet.entities.urls,extended_tweet.entities.user_mentions,extended_tweet.full_text,favorite_count,favorited,filter_level,geo,id,id_str,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,is_quote_status,lang,place,possibly_sensitive,quote_count,quoted_status.contributors,quoted_status.coordinates,quoted_status.created_at,quoted_status.display_text_range,quoted_status.entities.hashtags,quoted_status.entities.media,quoted_status.entities.symbols,quoted_status.entities.urls,quoted_status.entities.user_mentions,quoted_status.extended_entities.media,quoted_status.extended_tweet.display_text_range,quoted_status.extended_tweet.entities.hashtags,quoted_status.extended_tweet.entities.media,quoted_status.extended_tweet.entities.symbols,quoted_status.extended_tweet.entities.urls,quoted_status.extended_tweet.entities.user_mentions,quoted_status.extended_tweet.extended_entities.media,quoted_status.extended_tweet.full_text,quoted_status.favorite_count,quoted_status.favorited,quoted_status.filter_level,quoted_status.geo,quoted_status.id,quoted_status.id_str,quoted_status.in_reply_to_screen_name,quoted_status.in_reply_to_status_id,quoted_status.in_reply_to_status_id_str,quoted_status.in_reply_to_user_id,quoted_status.in_reply_to_user_id_str,quoted_status.is_quote_status,quoted_status.lang,quoted_status.place,quoted_status.possibly_sensitive,quoted_status.quote_count,quoted_status.quoted_status_id,quoted_status.quoted_status_id_str,quoted_status.reply_count,quoted_status.retweet_count,quoted_status.retweeted,quoted_status.source,quoted_status.text,quoted_status.truncated,quoted_status.user.contributors_enabled,quoted_status.user.created_at,quoted_status.user.default_profile,quoted_status.user.default_profile_image,quoted_status.user.description,quoted_status.user.favourites_count,quoted_status.user.follow_request_sent,quoted_status.user.followers_count,quoted_status.user.following,quoted_status.user.friends_count,quoted_status.user.geo_enabled,quoted_status.user.id,quoted_status.user.id_str,quoted_status.user.is_translator,quoted_status.user.lang,quoted_status.user.listed_count,quoted_status.user.location,quoted_status.user.name,quoted_status.user.notifications,quoted_status.user.profile_background_color,quoted_status.user.profile_background_image_url,quoted_status.user.profile_background_image_url_https,quoted_status.user.profile_background_tile,quoted_status.user.profile_banner_url,quoted_status.user.profile_image_url,quoted_status.user.profile_image_url_https,quoted_status.user.profile_link_color,quoted_status.user.profile_sidebar_border_color,quoted_status.user.profile_sidebar_fill_color,quoted_status.user.profile_text_color,quoted_status.user.profile_use_background_image,quoted_status.user.protected,quoted_status.user.screen_name,quoted_status.user.statuses_count,quoted_status.user.time_zone,quoted_status.user.translator_type,quoted_status.user.url,quoted_status.user.utc_offset,quoted_status.user.verified,quoted_status.user.withheld_in_countries,quoted_status_id2,quoted_status_id_str,quoted_status_permalink.display,quoted_status_permalink.expanded,quoted_status_permalink.url,reply_count,retweet_count,retweeted,retweeted_status.contributors,retweeted_status.coordinates,retweeted_status.created_at,retweeted_status.display_text_range,retweeted_status.entities.hashtags,retweeted_status.entities.media,retweeted_status.entities.symbols,retweeted_status.entities.urls,retweeted_status.entities.user_mentions,retweeted_status.extended_entities.media,retweeted_status.extended_tweet.display_text_range,retweeted_status.extended_tweet.entities.hashtags,retweeted_status.extended_tweet.entities.media,retweeted_status.extended_tweet.entities.symbols,retweeted_status.extended_tweet.entities.urls,retweeted_status.extended_tweet.entities.user_mentions,retweeted_status.extended_tweet.extended_entities.media,retweeted_status.extended_tweet.full_text,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.filter_level,retweeted_status.geo,retweeted_status.id,retweeted_status.id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.is_quote_status,retweeted_status.lang,retweeted_status.place,retweeted_status.place.attributes,retweeted_status.place.bounding_box.coordinates,retweeted_status.place.bounding_box.type,retweeted_status.place.country,retweeted_status.place.country_code,retweeted_status.place.full_name,retweeted_status.place.id,retweeted_status.place.name,retweeted_status.place.place_type,retweeted_status.place.url,retweeted_status.possibly_sensitive,retweeted_status.quote_count,retweeted_status.quoted_status.contributors,retweeted_status.quoted_status.coordinates,retweeted_status.quoted_status.created_at,retweeted_status.quoted_status.display_text_range,retweeted_status.quoted_status.entities.hashtags,retweeted_status.quoted_status.entities.media,retweeted_status.quoted_status.entities.symbols,retweeted_status.quoted_status.entities.urls,retweeted_status.quoted_status.entities.user_mentions,retweeted_status.quoted_status.extended_entities.media,retweeted_status.quoted_status.extended_tweet.display_text_range,retweeted_status.quoted_status.extended_tweet.entities.hashtags,retweeted_status.quoted_status.extended_tweet.entities.media,retweeted_status.quoted_status.extended_tweet.entities.symbols,retweeted_status.quoted_status.extended_tweet.entities.urls,retweeted_status.quoted_status.extended_tweet.entities.user_mentions,retweeted_status.quoted_status.extended_tweet.extended_entities.media,retweeted_status.quoted_status.extended_tweet.full_text,retweeted_status.quoted_status.favorite_count,retweeted_status.quoted_status.favorited,retweeted_status.quoted_status.filter_level,retweeted_status.quoted_status.geo,retweeted_status.quoted_status.id,retweeted_status.quoted_status.id_str,retweeted_status.quoted_status.in_reply_to_screen_name,retweeted_status.quoted_status.in_reply_to_status_id,retweeted_status.quoted_status.in_reply_to_status_id_str,retweeted_status.quoted_status.in_reply_to_user_id,retweeted_status.quoted_status.in_reply_to_user_id_str,retweeted_status.quoted_status.is_quote_status,retweeted_status.quoted_status.lang,retweeted_status.quoted_status.place,retweeted_status.quoted_status.possibly_sensitive,retweeted_status.quoted_status.quote_count,retweeted_status.quoted_status.reply_count,retweeted_status.quoted_status.retweet_count,retweeted_status.quoted_status.retweeted,retweeted_status.quoted_status.source,retweeted_status.quoted_status.text,retweeted_status.quoted_status.truncated,retweeted_status.quoted_status.user.contributors_enabled,retweeted_status.quoted_status.user.created_at,retweeted_status.quoted_status.user.default_profile,retweeted_status.quoted_status.user.default_profile_image,retweeted_status.quoted_status.user.description,retweeted_status.quoted_status.user.favourites_count,retweeted_status.quoted_status.user.follow_request_sent,retweeted_status.quoted_status.user.followers_count,retweeted_status.quoted_status.user.following,retweeted_status.quoted_status.user.friends_count,retweeted_status.quoted_status.user.geo_enabled,retweeted_status.quoted_status.user.id,retweeted_status.quoted_status.user.id_str,retweeted_status.quoted_status.user.is_translator,retweeted_status.quoted_status.user.lang,retweeted_status.quoted_status.user.listed_count,retweeted_status.quoted_status.user.location,retweeted_status.quoted_status.user.name,retweeted_status.quoted_status.user.notifications,retweeted_status.quoted_status.user.profile_background_color,retweeted_status.quoted_status.user.profile_background_image_url,retweeted_status.quoted_status.user.profile_background_image_url_https,retweeted_status.quoted_status.user.profile_background_tile,retweeted_status.quoted_status.user.profile_banner_url,retweeted_status.quoted_status.user.profile_image_url,retweeted_status.quoted_status.user.profile_image_url_https,retweeted_status.quoted_status.user.profile_link_color,retweeted_status.quoted_status.user.profile_sidebar_border_color,retweeted_status.quoted_status.user.profile_sidebar_fill_color,retweeted_status.quoted_status.user.profile_text_color,retweeted_status.quoted_status.user.profile_use_background_image,retweeted_status.quoted_status.user.protected,retweeted_status.quoted_status.user.screen_name,retweeted_status.quoted_status.user.statuses_count,retweeted_status.quoted_status.user.time_zone,retweeted_status.quoted_status.user.translator_type,retweeted_status.quoted_status.user.url,retweeted_status.quoted_status.user.utc_offset,retweeted_status.quoted_status.user.verified,retweeted_status.quoted_status.user.withheld_in_countries,retweeted_status.quoted_status_id,retweeted_status.quoted_status_id_str,retweeted_status.quoted_status_permalink.display,retweeted_status.quoted_status_permalink.expanded,retweeted_status.quoted_status_permalink.url,retweeted_status.reply_count,retweeted_status.retweet_count,retweeted_status.retweeted,retweeted_status.source,retweeted_status.text,retweeted_status.truncated,retweeted_status.user.contributors_enabled,retweeted_status.user.created_at,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.description,retweeted_status.user.favourites_count,retweeted_status.user.follow_request_sent,retweeted_status.user.followers_count,retweeted_status.user.following,retweeted_status.user.friends_count,retweeted_status.user.geo_enabled,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.is_translator,retweeted_status.user.lang,retweeted_status.user.listed_count,retweeted_status.user.location,retweeted_status.user.name,retweeted_status.user.notifications,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_banner_url,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.protected,retweeted_status.user.screen_name,retweeted_status.user.statuses_count,retweeted_status.user.time_zone,retweeted_status.user.translator_type,retweeted_status.user.url,retweeted_status.user.utc_offset,retweeted_status.user.verified,retweeted_status.user.withheld_in_countries,source,text,timestamp_ms,truncated,user.contributors_enabled,user.created_at,user.default_profile,user.default_profile_image,user.description,user.favourites_count,user.follow_request_sent,user.followers_count,user.following,user.friends_count,user.geo_enabled,user.id,user.id_str,user.is_translator,user.lang,user.listed_count,user.location,user.name,user.notifications,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_banner_url,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.protected,user.screen_name,user.statuses_count,user.time_zone,user.translator_type,user.url,user.utc_offset,user.verified,user.withheld_in_countries;;;;
"1435680668982333443,null,null,Wed Sep 08 19:05:19 +0000 2021,,[],[],[],""[{""""screen_name"""":""""Ice0and0Fire"""",""""name"""":""""Sandino Jarrín Terán"""",""""id"""":1090246607784894500,""""id_str"""":""""1090246607784894464"""",""""indices"""":[3,16]}]"",,,,,,,0,false,low,null,1435680668982333443,1435680668982333443,null,null,null,null,null,true,es,null,,0,null,null,Tue Sep 07 12:10:04 +0000 2021,""[0,140]"",""[{""""text"""":""""Ecuador"""",""""indices"""":[0,8]}]"",,[],""[{""""url"""":""""https://t.co/DyxV7fjoq2"""",""""expanded_url"""":""""https://twitter.com/i/web/status/1435213778300411910"""",""""display_url"""":""""twitter.com/i/web/status/1…"""",""""indices"""":[117,140]}]"",[],,""[0,165]"",""[{""""text"""":""""Ecuador"""",""""indices"""":[0,8]}]"",""[{""""id"""":1435213777012670500,""""id_str"""":""""1435213777012670469"""",""""indices"""":[166,189],""""media_url"""":""""http://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""media_url_https"""":""""https://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""url"""":""""https://t.co/qX7Mehk54d"""",""""display_url"""":""""pic.twitter.com/qX7Mehk54d"""",""""expanded_url"""":""""https://twitter.com/eluniversocom/status/1435213778300411910/photo/1"""",""""type"""":""""photo"""",""""sizes"""":{""""thumb"""":{""""w"""":150,""""h"""":150,""""resize"""":""""crop""""},""""large"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""},""""small"""":{""""w"""":680,""""h"""":421,""""resize"""":""""fit""""},""""medium"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""}}}]"",[],""[{""""url"""":""""https://t.co/kWJgNIHUtQ"""",""""expanded_url"""":""""http://ow.ly/oZ2050G59pR"""",""""display_url"""":""""ow.ly/oZ2050G59pR"""",""""indices"""":[142,165]}]"",[],""[{""""id"""":1435213777012670500,""""id_str"""":""""1435213777012670469"""",""""indices"""":[166,189],""""media_url"""":""""http://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""media_url_https"""":""""https://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""url"""":""""https://t.co/qX7Mehk54d"""",""""display_url"""":""""pic.twitter.com/qX7Mehk54d"""",""""expanded_url"""":""""https://twitter.com/eluniversocom/status/1435213778300411910/photo/1"""",""""type"""":""""photo"""",""""sizes"""":{""""thumb"""":{""""w"""":150,""""h"""":150,""""resize"""":""""crop""""},""""large"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""},""""small"""":{""""w"""":680,""""h"""":421,""""resize"""":""""fit""""},""""medium"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""}}}]"",""#Ecuador registra ola migratoria hacia EE. UU. por motivos similares a la ocurrida a finales de los años 90, refieren expertos en migración ► https://t.co/kWJgNIHUtQ https://t.co/qX7Mehk54d"",175,false,low,null,1435213778300411910,1435213778300411910,null,null,null,null,null,false,es,null,false,72,,,92,143,false,""<a href=""""https://www.hootsuite.com"""" rel=""""nofollow"""">Hootsuite Inc.</a>"",""#Ecuador registra ola migratoria hacia EE. UU. por motivos similares a la ocurrida a finales de los años 90, refier… https://t.co/DyxV7fjoq2"",true,false,Thu Aug 16 15:08:04 +0000 2007,false,false,""100 años: 1921-2021. Una nueva imagen, el mismo valor y compromiso periodístico. #LaNoticiaEstáEnElUniverso"",277,null,2373383,null,2835,true,8225692,8225692,false,null,4574,""Guayaquil, Ecuador"",El Universo,null,054D80,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/8225692/1629920675,http://pbs.twimg.com/profile_images/1427375212602040329/ryerfS7u_normal.jpg,https://pbs.twimg.com/profile_images/1427375212602040329/ryerfS7u_normal.jpg,01385F,FFFFFF,A9BCD8,000000,true,false,eluniversocom,343030,null,none,http://www.eluniverso.com,null,true,[],1435213778300411910,1435213778300411910,twitter.com/eluniversocom/…,https://twitter.com/eluniversocom/status/1435213778300411910,https://t.co/y4oyL6sRFX,0,0,false,null,null,Wed Sep 08 02:29:31 +0000 2021,,[],,[],[],[],,,,,,,,,,108,false,low,null,1435430067694407681,1435430067694407681,null,null,null,null,null,true,es,null,,,,,,,,,,,,2,null,null,Tue Sep 07 12:10:04 +0000 2021,""[0,140]"",""[{""""text"""":""""Ecuador"""",""""indices"""":[0,8]}]"",,[],""[{""""url"""":""""https://t.co/DyxV7fjoq2"""",""""expanded_url"""":""""https://twitter.com/i/web/status/1435213778300411910"""",""""display_url"""":""""twitter.com/i/web/status/1…"""",""""indices"""":[117,140]}]"",[],,""[0,165]"",""[{""""text"""":""""Ecuador"""",""""indices"""":[0,8]}]"",""[{""""id"""":1435213777012670500,""""id_str"""":""""1435213777012670469"""",""""indices"""":[166,189],""""media_url"""":""""http://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""media_url_https"""":""""https://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""url"""":""""https://t.co/qX7Mehk54d"""",""""display_url"""":""""pic.twitter.com/qX7Mehk54d"""",""""expanded_url"""":""""https://twitter.com/eluniversocom/status/1435213778300411910/photo/1"""",""""type"""":""""photo"""",""""sizes"""":{""""thumb"""":{""""w"""":150,""""h"""":150,""""resize"""":""""crop""""},""""large"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""},""""small"""":{""""w"""":680,""""h"""":421,""""resize"""":""""fit""""},""""medium"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""}}}]"",[],""[{""""url"""":""""https://t.co/kWJgNIHUtQ"""",""""expanded_url"""":""""http://ow.ly/oZ2050G59pR"""",""""display_url"""":""""ow.ly/oZ2050G59pR"""",""""indices"""":[142,165]}]"",[],""[{""""id"""":1435213777012670500,""""id_str"""":""""1435213777012670469"""",""""indices"""":[166,189],""""media_url"""":""""http://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""media_url_https"""":""""https://pbs.twimg.com/media/E-rnU3uWQAUoGC8.jpg"""",""""url"""":""""https://t.co/qX7Mehk54d"""",""""display_url"""":""""pic.twitter.com/qX7Mehk54d"""",""""expanded_url"""":""""https://twitter.com/eluniversocom/status/1435213778300411910/photo/1"""",""""type"""":""""photo"""",""""sizes"""":{""""thumb"""":{""""w"""":150,""""h"""":150,""""resize"""":""""crop""""},""""large"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""},""""small"""":{""""w"""":680,""""h"""":421,""""resize"""":""""fit""""},""""medium"""":{""""w"""":1082,""""h"""":670,""""resize"""":""""fit""""}}}]"",""#Ecuador registra ola migratoria hacia EE. UU. por motivos similares a la ocurrida a finales de los años 90, refieren expertos en migración ► https://t.co/kWJgNIHUtQ https://t.co/qX7Mehk54d"",175,false,low,null,1435213778300411910,1435213778300411910,null,null,null,null,null,false,es,null,false,72,92,143,false,""<a href=""""https://www.hootsuite.com"""" rel=""""nofollow"""">Hootsuite Inc.</a>"",""#Ecuador registra ola migratoria hacia EE. UU. por motivos similares a la ocurrida a finales de los años 90, refier… https://t.co/DyxV7fjoq2"",true,false,Thu Aug 16 15:08:04 +0000 2007,false,false,""100 años: 1921-2021. Una nueva imagen, el mismo valor y compromiso periodístico. #LaNoticiaEstáEnElUniverso"",277,null,2373383,null,2835,true,8225692,8225692,false,null,4574,""Guayaquil, Ecuador"",El Universo,null,054D80,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,https://pbs.twimg.com/profile_banners/8225692/1629920675,http://pbs.twimg.com/profile_images/1427375212602040329/ryerfS7u_normal.jpg,https://pbs.twimg.com/profile_images/1427375212602040329/ryerfS7u_normal.jpg,01385F,FFFFFF,A9BCD8,000000,true,false,eluniversocom,343030,null,none,http://www.eluniverso.com,null,true,[],1435213778300411910,1435213778300411910,twitter.com/eluniversocom/…,https://twitter.com/eluniversocom/status/1435213778300411910,https://t.co/y4oyL6sRFX,2,48,false,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Web App</a>"",Por tener el Lasso al cuello (?),false,false,Tue Jan 29 13:53:41 +0000 2019,true,false,""Estudiante de Derecho en la PUCE. Determinado a no repetir nuestra historia, distraído por la ficción y los momentos felices."",7719,null,660,null,350,false,1090246607784894464,1090246607784894464,false,null,0,null,Sandino Jarrín Terán,null,F5F8FA,,,false,https://pbs.twimg.com/profile_banners/1090246607784894464/1553720596,http://pbs.twimg.com/profile_images/1428865422221266946/RtJdMRSs_normal.jpg,https://pbs.twimg.com/profile_images/1428865422221266946/RtJdMRSs_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,true,false,Ice0and0Fire,264,null,none,null,null,false,[],""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",RT @Ice0and0Fire: Por tener el Lasso al cuello (?),1631127919799,false,false,Sun Mar 27 02:10:37 +0000 2011,false,false,Mujer luchadora y tenaz... Vivo cada momento y disfruto mucho viajar 💃❤️,21557,null,68,null,97,false,272723055,272723055,false,null,0,ECUADOR - MANABI,SANDRA BALDERRAMA,null,FF6699,http://abs.twimg.com/images/themes/theme11/bg.gif,https://abs.twimg.com/images/themes/theme11/bg.gif,true,https://pbs.twimg.com/profile_banners/272723055/1372278506,http://pbs.twimg.com/profile_images/1396700782582501376/BsqRqKBK_normal.jpg,https://pbs.twimg.com/profile_images/1396700782582501376/BsqRqKBK_normal.jpg,B40B43,CC3366,E5507E,362720,true,false,SEBAL10,11132,null,none,null,null,false,[]";;;;
"1435680678788702208,null,null,Wed Sep 08 19:05:22 +0000 2021,,[],[],[],""[{""""screen_name"""":""""AP_Kost"""",""""name"""":""""Kost"""",""""id"""":364454445,""""id_str"""":""""364454445"""",""""indices"""":[3,11]}]"",,,,,,,0,false,low,null,1435680678788702208,1435680678788702208,null,null,null,null,null,false,es,null,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,false,null,null,Wed Sep 08 17:08:20 +0000 2021,""[0,140]"",[],,[],""[{""""url"""":""""https://t.co/UojvLNfzLf"""",""""expanded_url"""":""""https://twitter.com/i/web/status/1435651228244008963"""",""""display_url"""":""""twitter.com/i/web/status/1…"""",""""indices"""":[116,139]}]"",[],,""[0,145]"",[],""[{""""id"""":1435651106235981800,""""id_str"""":""""1435651106235981827"""",""""indices"""":[146,169],""""additional_media_info"""":{""""monetizable"""":false},""""media_url"""":""""http://pbs.twimg.com/ext_tw_video_thumb/1435651106235981827/pu/img/Muyhb-ybPcVxUmvW.jpg"""",""""media_url_https"""":""""https://pbs.twimg.com/ext_tw_video_thumb/1435651106235981827/pu/img/Muyhb-ybPcVxUmvW.jpg"""",""""url"""":""""https://t.co/MA972cvBf1"""",""""display_url"""":""""pic.twitter.com/MA972cvBf1"""",""""expanded_url"""":""""https://twitter.com/AP_Kost/status/1435651228244008963/video/1"""",""""type"""":""""video"""",""""video_info"""":{""""aspect_ratio"""":[207,109],""""duration_millis"""":29623,""""variants"""":[{""""bitrate"""":256000,""""content_type"""":""""video/mp4"""",""""url"""":""""https://video.twimg.com/ext_tw_video/1435651106235981827/pu/vid/512x270/dP1pVharWE1on5Cu.mp4?tag=12""""},{""""bitrate"""":832000,""""content_type"""":""""video/mp4"""",""""url"""":""""https://video.twimg.com/ext_tw_video/1435651106235981827/pu/vid/828x436/CFxZLSIGnBGKULwu.mp4?tag=12""""},{""""content_type"""":""""application/x-mpegURL"""",""""url"""":""""https://video.twimg.com/ext_tw_video/1435651106235981827/pu/pl/nRK5YgU0FQQ-sTXL.m3u8?tag=12&container=fmp4""""}]},""""sizes"""":{""""thumb"""":{""""w"""":150,""""h"""":150,""""resize"""":""""crop""""},""""large"""":{""""w"""":828,""""h"""":436,""""resize"""":""""fit""""},""""small"""":{""""w"""":680,""""h"""":358,""""resize"""":""""fit""""},""""medium"""":{""""w"""":828,""""h"""":436,""""resize"""":""""fit""""}}}]"",[],[],[],""[{""""id"""":1435651106235981800,""""id_str"""":""""1435651106235981827"""",""""indices"""":[146,169],""""additional_media_info"""":{""""monetizable"""":false},""""media_url"""":""""http://pbs.twimg.com/ext_tw_video_thumb/1435651106235981827/pu/img/Muyhb-ybPcVxUmvW.jpg"""",""""media_url_https"""":""""https://pbs.twimg.com/ext_tw_video_thumb/1435651106235981827/pu/img/Muyhb-ybPcVxUmvW.jpg"""",""""url"""":""""https://t.co/MA972cvBf1"""",""""display_url"""":""""pic.twitter.com/MA972cvBf1"""",""""expanded_url"""":""""https://twitter.com/AP_Kost/status/1435651228244008963/video/1"""",""""type"""":""""video"""",""""video_info"""":{""""aspect_ratio"""":[207,109],""""duration_millis"""":29623,""""variants"""":[{""""bitrate"""":256000,""""content_type"""":""""video/mp4"""",""""url"""":""""https://video.twimg.com/ext_tw_video/1435651106235981827/pu/vid/512x270/dP1pVharWE1on5Cu.mp4?tag=12""""},{""""bitrate"""":832000,""""content_type"""":""""video/mp4"""",""""url"""":""""https://video.twimg.com/ext_tw_video/1435651106235981827/pu/vid/828x436/CFxZLSIGnBGKULwu.mp4?tag=12""""},{""""content_type"""":""""application/x-mpegURL"""",""""url"""":""""https://video.twimg.com/ext_tw_video/1435651106235981827/pu/pl/nRK5YgU0FQQ-sTXL.m3u8?tag=12&container=fmp4""""}]},""""sizes"""":{""""thumb"""":{""""w"""":150,""""h"""":150,""""resize"""":""""crop""""},""""large"""":{""""w"""":828,""""h"""":436,""""resize"""":""""fit""""},""""small"""":{""""w"""":680,""""h"""":358,""""resize"""":""""fit""""},""""medium"""":{""""w"""":828,""""h"""":436,""""resize"""":""""fit""""}}}]"",""Lasso ofrece - pueblo cree y dan el voto. ";;;;
Lasso no cumple y pueblo reacciona ;;;;
Lasso miente = Efecto Lasso.;;;;
;;;;
"Ojalá así entiendan los “iluminados” https://t.co/MA972cvBf1"",78,false,low,null,1435651228244008963,1435651228244008963,null,null,null,null,null,false,es,null,,,,,,,,,,,false,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,57,false,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",""Lasso ofrece - pueblo cree y dan el voto. ";;;;
Lasso no cumple y pueblo reacciona ;;;;
Lasso miente = Efecto Lasso.;;;;
;;;;
